IdBuque;Buque;CFR;Censo;Geom;Latitud;Longitud;IdPosicion;Fecha;Hora;Velocidad;Rumbo;IdSuceso;TipoSuceso;IdDiario;HojaMarea
8892284;NUNCA ES TARDE;ESP000025482;PALANGRE DE SUPERFICIE AGUAS CENSO UNIFICADO;0xE6100000010C030000A0AAAA28C0030000A0AA4A4540;42,5833320617676;-12,3333330154419;260714980;2024-10-02;03:29;6;106;0;Posicion;2371191;ESP-TRP-02548220240821154051
8892284;NUNCA ES TARDE;ESP000025482;PALANGRE DE SUPERFICIE AGUAS CENSO UNIFICADO;0xE6100000010CEEFFFF3F606528C0FDFFFFBFD9474540;42,5613327026367;-12,1979999542236;260716211;2024-10-02;04:29;5,8;106;0;Posicion;2371191;ESP-TRP-02548220240821154051
8892284;NUNCA ES TARDE;ESP000025482;PALANGRE DE SUPERFICIE AGUAS CENSO UNIFICADO;0xE6100000010CE6FFFF7F792228C0FDFFFFBF85444540;42,5353317260742;-12,0673332214355;260717764;2024-10-02;05:29;5,4;114;0;Posicion;2371191;ESP-TRP-02548220240821154051
8892284;NUNCA ES TARDE;ESP000025482;PALANGRE DE SUPERFICIE AGUAS CENSO UNIFICADO;0xE6100000010CF4FFFFDFDDDD27C0FAFFFFBFAE404540;42,5053329467773;-11,9333333969116;260719245;2024-10-02;06:28;6,2;103;0;Posicion;2371191;ESP-TRP-02548220240821154051
8892284;NUNCA ES TARDE;ESP000025482;PALANGRE DE SUPERFICIE AGUAS CENSO UNIFICADO;0xE6100000010C150000A0999927C0FAFFFF1F2F3D4540;42,4780006408691;-11,8000001907349;260720588;2024-10-02;07:28;5,6;109;0;Posicion;2371191;ESP-TRP-02548220240821154051
8892284;NUNCA ES TARDE;ESP000025482;PALANGRE DE SUPERFICIE AGUAS CENSO UNIFICADO;0xE6100000010C0D0000E0B25627C0000000602C394540;42,4466667175293;-11,6693334579468;260721947;2024-10-02;08:28;6,6;118;0;Posicion;2371191;ESP-TRP-02548220240821154051
8892284;NUNCA ES TARDE;ESP000025482;PALANGRE DE SUPERFICIE AGUAS CENSO UNIFICADO;0xE6100000010CE8FFFF5FE3A527C0FBFFFF7FCF504540;42,6313323974609;-11,8240003585815;259261903;2024-08-17;03:28;8,4;278;0;Posicion;2367605;ESP-TRP-02548220240816131100
8892284;NUNCA ES TARDE;ESP000025482;PALANGRE DE SUPERFICIE AGUAS CENSO UNIFICADO;0xE6100000010C0200008041E026C0010000C0CC4C4540;42,5999984741211;-11,4379997253418;259259586;2024-08-17;01:28;8,8;277;0;Posicion;2367605;ESP-TRP-02548220240816131100
8892284;NUNCA ES TARDE;ESP000025482;PALANGRE DE SUPERFICIE AGUAS CENSO UNIFICADO;0xE6100000010C0C000080DA4027C0030000A01A4F4540;42,6180000305176;-11,6266670227051;259260629;2024-08-17;02:28;7;285;0;Posicion;2367605;ESP-TRP-02548220240816131100
8892284;NUNCA ES TARDE;ESP000025482;PALANGRE DE SUPERFICIE AGUAS CENSO UNIFICADO;0xE6100000010CECFFFFBFAE8026C001000020694A4540;42,5813331604004;-11,2513332366943;259258502;2024-08-17;00:29;7,6;277;0;Posicion;2367605;ESP-TRP-02548220240816131100
8892284;NUNCA ES TARDE;ESP000025482;PALANGRE DE SUPERFICIE AGUAS CENSO UNIFICADO;0xE6100000010CE7FFFF9FE26C28C0FBFFFF7F5B564540;42,6746673583984;-12,2126665115356;259263965;2024-08-17;05:28;9;282;0;Posicion;2367605;ESP-TRP-02548220240816131100
8892284;NUNCA ES TARDE;ESP000025482;PALANGRE DE SUPERFICIE AGUAS CENSO UNIFICADO;0xE6100000010CF7FFFF7F880828C0FFFFFF3F4F544540;42,6586685180664;-12,0166664123535;259262911;2024-08-17;04:28;8,2;284;0;Posicion;2367605;ESP-TRP-02548220240816131100
21965890;MARBELLO;ESP000026044;PALANGRE DE SUPERFICIE AGUAS CENSO UNIFICADO;0xE6100000010C1B000040A78D28C0FDFFFFBF85644540;42,7853317260742;-12,2766666412354;259556222;2024-08-26;13:38;7,6;137;0;Posicion;2324353;ESP-TRP-02604420240624161731
21965890;MARBELLO;ESP000026044;PALANGRE DE SUPERFICIE AGUAS CENSO UNIFICADO;0xE6100000010C04000000D34D28C0040000C09F5A4540;42,7080001831055;-12,1520004272461;259557701;2024-08-26;14:38;7,2;134;0;Posicion;2324353;ESP-TRP-02604420240624161731
21965890;MARBELLO;ESP000026044;PALANGRE DE SUPERFICIE AGUAS CENSO UNIFICADO;0xE6100000010CF9FFFF5FF20B28C0070000008E504540;42,6293334960938;-12,0233335494995;259559011;2024-08-26;15:38;8,2;143;0;Posicion;2324353;ESP-TRP-02604420240624161731
21965890;MARBELLO;ESP000026044;PALANGRE DE SUPERFICIE AGUAS CENSO UNIFICADO;0xE6100000010C01000020F9C527C0FAFFFFBF3A464540;42,5486679077148;-11,8866662979126;259560351;2024-08-26;16:38;7,2;124;0;Posicion;2324353;ESP-TRP-02604420240624161731
21965890;MARBELLO;ESP000026044;PALANGRE DE SUPERFICIE AGUAS CENSO UNIFICADO;0xE6100000010CEEFFFF9F188427C0FEFFFF7F6A3C4540;42,4720001220703;-11,7580003738403;259561571;2024-08-26;17:38;6,2;123;0;Posicion;2324353;ESP-TRP-02604420240624161731
